I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5560,,2000,6,4,16,28,26.1,33,7.9,7.9,8,6.8,,,,6,INDONESIA,,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,60,103,3,,,2174,4,6,3,,,,,103,3,,,2174,4,6,3,,,,
5561,,2000,6,6,2,41,49.8,10,6,6,6.1,5.5,,,,7,TURKEY,,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,140,2,1,,,80,2,,3,,,,,2,1,,,80,2,,3,,,4600,4
5562,,2000,6,7,21,46,55.9,33,6.3,6.3,6.5,6.3,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,30,,,,,,,,1,,2,,2,,,,,,,,1,,2,,
5563,,2000,6,7,23,45,26.6,33,6.7,6.7,6.7,6.1,,,,,INDONESIA,,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,60,1,1,,,,,,2,,,600,3,1,1,,,,,,2,,,600,3
5564,,2000,6,10,18,23,29.3,33,6.4,6.4,6.2,6.2,,,,,TAIWAN,,TAIWAN:  NAN-TOU,23.843,121.225,30,2,1,,,36,1,,1,,,,,2,1,,,36,1,,1,,,,
8209,,2000,6,17,15,40,41.7,10,6.5,6.5,6.6,5.7,,,,,ICELAND,,"ICELAND:  VESTMANNAEYJAR, HELLA",63.966,-20.487,120,,,,,1,1,20,3,11,1,11,1,,,,,1,1,20,3,11,1,19,1
5565,Tsu,2000,6,18,14,44,13.3,10,7.9,7.9,7.8,6.8,,,,,AUSTRALIA,,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,60,,,,,,,,,,,,,,,,,,,,,,,,
5566,,2000,6,21,0,51,46.8,10,6.5,6.5,6.6,6.1,,,,,ICELAND,,"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,120,,,,,,,12,3,12,1,12,1,,,,,,,12,3,12,1,,
5568,Tsu,2000,7,1,7,1,55.5,10,6.1,6.1,6.1,6,,,,,JAPAN,,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,30,1,1,,,,3,,1,,,,,1,1,,,,3,,1,,,,
5569,,2000,7,6,19,30,20.3,33,5.4,5.4,5.1,5,,,,,NICARAGUA,,NICARAGUA:  MASAYA,11.884,-85.988,100,7,1,,,42,1,,3,357,3,1130,4,7,1,,,42,1,,3,357,3,1130,4
5570,,2000,7,12,1,10,42.6,33,5.4,5.4,5,5.2,,,,,INDONESIA,,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,60,,,,,6,1,,2,,,225,3,,,,,6,1,,2,,,225,3
5571,Tsu,2000,7,15,1,30,30.5,10,6.1,6.1,5.9,5.5,,,,,JAPAN,,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,30,,,,,10,1,,1,,,20,1,,,,,10,1,,1,,,20,1
5572,,2000,7,16,3,21,45.5,33,6.4,6.4,6.3,6.1,,,,,PHILIPPINES,,"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,170,,,,,6,1,,2,,,,3,,,,,6,1,,2,,,,3
7803,Tsu,2000,7,30,12,25,45.5,10,6.5,6.5,6.5,6,,,,,JAPAN,,JAPAN:  HONSHU:  S,33.901,139.376,30,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,
5574,,2000,8,4,21,13,2.7,10,6.8,6.8,7.1,6.3,,,,6,RUSSIA,,"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,50,,,,,8,1,0.92,1,,,1390,4,,,,,8,1,0.92,1,,,1390,4
5575,,2000,8,21,13,25,44.5,33,4.2,,4.2,4.9,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,30,1,1,,,406,3,43,4,,,,,1,1,,,406,3,43,4,,,,
5576,,2000,9,3,8,36,30,10,5,5,4.9,4.9,,,,7,USA,CA,CALIFORNIA:  NAPA,38.379,-122.413,150,,,,,41,1,50,4,,,,,,,,,41,1,50,4,,,,
5577,,2000,10,2,2,25,31.3,34,6.5,6.5,6.7,6.1,,,,,TANZANIA,,"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,10,,,,,6,1,,1,7,1,150,3,,,,,6,1,,1,7,1,150,3
5578,,2000,10,6,4,30,19.1,10,6.7,6.7,6.8,5.8,,,,9,JAPAN,,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,30,,,,,130,3,150,4,104,3,2230,4,,,,,130,3,150,4,104,3,2230,4
5579,,2000,10,30,22,39,6.5,33,5.1,5.1,4.5,5.2,,,,,AFGHANISTAN,,AFGHANISTAN-TAJIKISTAN:  RAKHOR,37.542,69.582,40,,,,,,,,2,,,,,,,,,,,,2,,,800,3
5580,,2000,11,8,6,59,58.8,17,6.5,6.5,6.4,6,,,,,PANAMA,,PANAMA-COLOMBIA:  JURADO,7.042,-77.829,100,,,,,2,1,,2,,,86,2,,,,,2,1,,2,,,86,2
5581,Tsu,2000,11,16,4,54,55.9,17,8,8,8.2,6,,,,,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,170,2,1,,,,,,2,,3,,,2,1,,,,,,2,,3,,
5582,,2000,11,16,7,42,16.9,30,7.8,7.8,7.8,6.2,,,,,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN",-5.233,153.102,170,,,,,,,,1,,,,,,,,,,,,1,,,,
5583,,2000,11,17,21,1,56.4,33,7.8,7.8,8,6.2,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,-5.496,151.781,170,,,,,,,,,,,,,,,,,,,,,,,,
5584,,2000,11,25,18,9,11.4,50,6.8,6.8,,5.8,,,,,AZERBAIJAN,,AZERBAIJAN:  BAKU,40.245,49.946,40,31,1,,,430,3,,1,,,,,31,1,,,430,3,,1,,,,
5585,,2000,12,6,17,11,6.4,30,7,7,7.5,6.7,,,,,TURKMENISTAN,,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566,54.799,40,11,1,,,,2,,1,,,,,11,1,,,,2,,1,,,,
5586,,2000,12,15,16,44,47.6,10,6,6,5.8,5.1,,,,7,TURKEY,,TURKEY:  AFYON-BOLVADIN,38.457,31.351,140,6,1,,,41,1,,1,,,,,6,1,,,41,1,,1,,,,2
8952,,2001,1,1,6,57,4.1,33,7.5,7.5,7.2,6.4,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,6.898,126.579,170,,,,,,,,,,,,,,,,,,,,,,,,
5587,Tsu,2001,1,13,17,33,32.3,60,7.7,7.7,7.8,6.4,,,,8,EL SALVADOR,,EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT.,13.049,-88.66,100,844,3,,,4723,4,753,4,108226,4,169632,4,844,3,,,4723,4,753,4,108226,4,169632,4
5589,,2001,1,26,3,16,40.5,16,7.7,7.7,8,6.9,,,,10,INDIA,,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.419,70.232,60,20005,4,,,166836,4,2623,4,339000,4,339000,4,20005,4,,,166836,4,2623,4,339000,4,,
5592,,2001,2,13,14,22,5.8,10,6.6,6.6,6.5,5.5,,,,6,EL SALVADOR,,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,100,315,3,,,3399,4,348.5,4,41302,4,15706,4,315,3,,,3399,4,348.5,4,41302,4,15706,4
5593,,2001,2,23,0,9,23.6,33,5.6,5.6,5.4,5.7,,,,,CHINA,,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,30,3,1,,,109,3,,3,60000,4,60000,4,3,1,,,109,3,,3,60000,4,,
5595,,2001,2,28,18,54,32.8,52,6.8,6.8,6.6,6.5,,,,8,USA,WA,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,150,1,1,,,400,3,2000,4,,,,,1,1,,,400,3,2000,4,,,,
5596,,2001,3,24,6,27,53.5,50,6.8,6.8,6.5,6.4,,,,9,JAPAN,,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,30,2,1,,,161,3,500,4,,,3700,4,2,1,,,161,3,500,4,,,3700,4
5597,,2001,5,8,18,2,16.9,10,5.7,5.7,5.4,5.2,,,,,EL SALVADOR,,EL SALVADOR:  CONCHAGUA,13.605,-88.795,100,1,1,,,,,,2,84,2,70,2,1,1,,,,,,2,84,2,70,2
5598,,2001,5,23,21,10,43.9,33,5.5,5.5,5.3,5.1,,,,,CHINA,,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,27.689,101.003,30,2,1,,,605,3,36,4,,,,,2,1,,,605,3,36,4,,,,
5599,,2001,6,1,14,0,43.6,62,5,5,4.6,5,,,,,AFGHANISTAN,,AFGHANISTAN:  HINDU KUSH:  PARVAN,35.169,69.389,40,4,1,,,20,1,,1,,2,,2,4,1,,,20,1,,,,2,,
5601,Tsu,2001,6,23,20,33,14.1,33,8.4,8.4,8.2,6.7,,,,8,PERU,,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,160,77,2,68,2,2713,4,,4,22399,4,,,103,3,138,3,2713,4,200,4,25399,4,,
5602,,2001,6,25,13,28,46.5,5,5.5,5.5,4.9,5.2,,,,,TURKEY,,TURKEY:  OSMANIYE,37.238,36.206,140,,,,,130,3,,1,,,,,,,,,130,3,,1,,,66,2
5603,,2001,7,5,13,53,48.3,62,6.6,6.6,,6.2,,,,,PERU,,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,160,,,,,,,,2,300,3,,,,,,,,,,2,300,3,,
5604,,2001,7,7,9,38,43.5,33,7.6,7.6,7.3,6.6,,,,,PERU,,"PERU:  AREQUIPA, ARICA",-17.543,-72.077,160,1,1,,,30,1,,2,200,3,,,1,1,,,30,1,,2,200,3,,
5605,,2001,7,14,18,36,8.3,33,4.3,,4.3,4.6,4.7,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  JIANGCHUAN,24.455,102.66,30,,,,,2,1,,1,150,3,150,3,,,,,2,1,,1,150,3,,
5606,,2001,7,26,0,21,36.9,10,6.5,6.5,6.6,6,,,,,GREECE,,GREECE:  SKYROS,39.059,24.244,130,,,,,,,,1,,,100,2,,,,,,,,1,,,100,2
5607,,2001,8,9,2,6,59.9,33,5.8,5.8,5.5,5.4,,,,,PERU,,PERU:  ANTABAMA,-14.258,-72.683,160,4,1,,,15,1,,2,,3,,,4,1,,,15,1,,2,,3,,
5608,,2001,9,9,23,59,18,5,4.2,,,4.2,,,,6,USA,CA,CALIFORNIA:  LOS ANGELES,34.059,-118.387,150,,,,,,,,1,,,,,,,,,,,,1,,,,
10203,Tsu,2001,10,12,5,2,34,20,6.1,6.1,5.8,5.6,,,,,CANADA,BC,CANADA:  QUEEN CHARLOTTE ISLANDS,52.63,-132.2,150,,,,,,,,,,,,,,,,,,,,,,,,
5609,,2001,10,12,15,2,16.8,37,7,7,7.3,6.7,,,,8,USA TERRITORY,GU,GUAM,12.686,144.98,170,,,,,1,1,,2,,3,,,,,,,1,1,,2,,3,,
5610,,2001,10,19,3,28,44.4,33,7.5,7.5,7.3,6.3,,,,,INDONESIA,,INDONESIA:  BANDA SEA,-4.102,123.907,170,,,,,,,,,,,,,,,,,,,,,,,,
5611,,2001,10,27,5,35,39.7,10,5.6,5.6,5.5,5.3,,,,,CHINA,,CHINA:  YUNNAN PROVINCE:  YONGSHENG,26.316,100.648,30,1,1,,,220,3,,2,3400,4,3400,4,1,1,,,220,3,,2,3400,4,,
5612,,2001,11,14,9,26,10,10,7.8,7.8,8,6.1,,,,,CHINA,,CHINA:  QINGHAI PROVINCE:  XIDATAN,35.946,90.541,40,,,,,,,,1,,2,,2,,,,,,,,1,,2,,
6613,Tsu,2001,12,18,4,2,58.2,14,6.8,6.8,7.3,6.3,,,,,TAIWAN,,TAIWAN,23.954,122.734,30,,,,,,,,,,,,,,,,,,,,,,,,
5613,,2001,12,19,7,54,7.9,10,4.5,,,4.5,,,,6,BANGLADESH,,BANGLADESH:  DHAKA,23.632,90.376,60,,,,,100,2,,1,,,,2,,,,,100,2,,1,,,,2
5614,Tsu,2002,1,2,17,22,48.7,21,7.2,7.2,7.5,6.3,,,,,VANUATU,,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,170,,,,,,2,,1,,,,2,,,,,,2,,1,,,,2
5615,,2002,1,9,6,45,57.5,33,5.3,5.3,5.2,5.2,,,,,TAJIKISTAN,,TAJIKISTAN:  ROGHUN,38.673,69.902,40,3,1,,,50,1,,2,,,209,3,3,1,,,50,1,,2,,,209,3
5616,,2002,1,10,11,14,56.9,11,6.7,6.7,6.6,6,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  AITAPE,-3.212,142.427,170,1,1,,,,,,2,200,3,,,1,1,,,,,,2,200,3,,
5617,,2002,1,14,15,36,26.4,33,5.6,5.6,5.2,5.5,,,,,CHILE,,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,160,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5618,,2002,1,17,20,1,29.2,15,4.7,,,4.7,,,,,RWANDA,,RWANDA:  GISENYI,-1.684,29.077,10,,1,,,,,,2,307,,,,1001,2,,,400,3,,3,307,3,,
5619,,2002,1,30,8,42,3.4,109,5.9,5.9,,5.6,,,,,MEXICO,,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,150,,,,,,,,1,,,,2,,,,,,,,1,,,,2
5620,,2002,2,3,7,11,28.4,5,6.5,6.5,6.4,5.7,,,,,TURKEY,,TURKEY:  AFYON,38.573,31.271,140,44,1,,,318,3,,2,,,,,44,1,,,318,3,,2,,,622,3
5621,,2002,2,3,20,59,27.6,44,4.9,,,4.9,,,,,TAJIKISTAN,,TAJIKISTAN:  ROGHUN,38.773,69.924,40,,,,,,2,,1,,,,2,,,,,,2,,1,,,,2
5622,,2002,2,17,13,3,52.7,33,5.4,5.4,5,5.6,,,,,IRAN,,IRAN:  BAGHAN,28.093,51.755,140,1,1,,,30,1,,2,,,,,1,1,,,30,1,,2,,,,3
5623,,2002,2,22,19,32,41.7,7,5.5,5.5,5.5,5.4,,,,,MEXICO,,"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,150,,,,,,,,1,,,,,,,,,,,,1,,,,
5624,,2002,3,3,12,8,19.7,226,7.4,7.4,,6.6,,,,,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,40,166,3,,,,2,,3,300,3,300,3,166,3,,,,2,,3,300,3,400,3
5625,Tsu,2002,3,5,21,16,9.1,31,7.5,7.5,7.2,6.3,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,6.033,124.249,170,15,1,,,100,2,1.714,2,,,800,3,15,1,,,100,2,1.714,2,,,800,3
5626,,2002,3,25,14,56,33.8,8,6.1,6.1,6.2,5.9,,,,,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.062,69.315,40,1000,3,,,200,3,,4,1500,4,1500,4,1000,3,,,200,3,,4,1500,4,,
6821,Tsu,2002,3,26,3,45,48.7,33,6.4,6.4,6.6,5.8,,,,,JAPAN,,JAPAN:  RYUKYU ISLANDS,23.346,124.09,30,,,,,,,,,,,,,,,,,,,,,,,,
5627,Tsu,2002,3,31,6,52,50.4,33,7.1,7.1,7.4,6.4,,,,,TAIWAN,,TAIWAN:  TAIPEI,24.279,122.179,30,5,1,,,200,3,,2,100,2,,,5,1,,,200,3,,2,100,2,,
5628,,2002,4,1,19,59,32.4,71,6.4,6.4,,6.1,,,,,CHILE,,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,160,,,,,,,,1,,,,,,,,,,,,1,,,,
5629,,2002,4,12,4,0,23.7,10,5.9,5.9,5.9,5.8,,,,,TAJIKISTAN,,TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,39.959,69.417,40,50,1,,,150,3,,2,160,3,160,3,50,1,,,150,3,,,160,3,250,3
5630,,2002,4,18,16,8,36.7,62,6.6,6.6,,6.2,,,,,CHILE,,"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,160,,,,,19,1,,2,34,1,575,3,,,,,19,1,,2,34,1,575,3
5631,,2002,4,20,10,50,47.5,11,5.2,5.2,4.2,5.2,,,,7,USA,NY,"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,150,,,,,,,,1,,,,,,,,,,,,1,,,,
5632,,2002,4,24,10,51,50.9,10,5.7,5.7,5.6,5.6,,,,,SERBIA,,BALKANS NW:  KOSOVO; MACEDONIA:  N,42.436,21.466,130,1,1,,,60,2,,1,,,,,1,1,,,60,2,,1,,,,
5633,,2002,4,24,19,48,7.1,33,5.4,5.4,5.2,5.2,,,,,IRAN,,IRAN:  WESTERN:  KERMANSHAH,34.642,47.4,140,2,1,,,56,2,,4,,4,,4,2,1,,,56,2,,4,,4,,
5634,,2002,4,25,17,41,21.5,10,4.3,,4.3,4.8,,,,,GEORGIA,,GEORGIA:  TBILISI,41.765,44.96,40,5,1,,,52,2,,3,,,2400,4,5,1,,,52,2,,3,,,2400,4
5635,,2002,4,26,16,6,7,86,7.1,7.1,,6.5,,,,7,USA TERRITORY,GU,GUAM,13.088,144.619,170,,,,,5,1,,1,,,,,,,,,5,1,,1,,,,
5636,,2002,5,18,15,15,8.8,10,5.5,5.5,5.5,5.2,,,,,TANZANIA,,TANZANIA:  BUNDA,-2.907,33.733,10,2,1,,,,,,2,690,3,700,3,2,1,,,,,,2,690,3,700,3
5637,,2002,5,28,4,4,22.5,22,6,6,5.7,6,,,,,ARGENTINA,,"ARGENTINA:  AMINGA, ANILLACO, AGUA BLANCA, CHUQUIS",-28.937,-66.797,160,,,,,27,1,,2,40,1,40,1,,,,,27,1,,2,40,1,,3
5638,,2002,6,20,5,40,43.3,40,4.5,,,4.5,,,,,BANGLADESH,,"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",25.842,88.932,60,,,,,55,2,,1,,,,2,,,,,55,2,,1,,,,2
5639,,2002,6,22,2,58,21.3,10,6.5,6.5,6.4,6.2,,,,8,IRAN,,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,140,261,3,,,1300,4,300,4,,4,,4,261,3,,,1300,4,300,4,4,4,,
5573,,2002,7,22,5,45,3,17,4.8,,,4.8,,,,,GERMANY,,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,120,,,,,,,,1,,,,,,,,,,,,1,,,,
5641,,2002,7,31,0,16,44.6,10,6.5,6.5,6.4,6,,,,7,PANAMA,,"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL",7.929,-82.793,100,,,,,11,1,,2,,2,,3,,,,,11,1,,2,,2,,3
5642,,2002,8,8,11,42,5,33,5.3,5.3,4.7,5.4,,,,,CHINA,,CHINA:  SICHUAN PROVINCE:  RULONG,30.916,99.927,30,,,,,,,,1,8,1,8,1,,,,,,,,1,8,1,,
5643,,2002,8,14,13,57,52.1,30,6.5,6.5,6.4,6.1,,,,,USA TERRITORY,MP,NORTHERN MARIANA ISLANDS:  SAIPAN,14.101,146.199,170,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5644,,2002,8,15,5,30,26.2,10,6.2,6.2,5.8,5.7,,,,,INDONESIA,,INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,170,48,1,,,,,,2,,,200,3,48,1,,,,,,2,,,200,3
8953,,2002,8,19,11,1,1.1,580,7.7,7.7,,6.7,,,,,FIJI,,FIJI ISLANDS,-21.696,-179.513,170,,,,,,,,,,,,,,,,,,,,,,,,
8954,,2002,8,19,11,8,24.3,675,7.7,7.7,,7,,,,,FIJI,,FIJI ISLANDS,-23.884,178.495,170,,,,,,,,,,,,,,,,,,,,,,,,
5645,,2002,8,24,20,1,18.3,10,4.4,,,4.4,,,,,EGYPT,,EGYPT:  CAIRO,30.2,31.41,15,,,,,,,,1,,,44,1,,,,,,,,1,,,44,1
5646,,2002,9,2,1,0,3.2,10,5.2,5.2,,5.1,,,,,IRAN,,"IRAN: KAK, RAZAN, SIZAN",35.701,48.838,140,,,,,,,,1,,,,,,,,,,,,1,,,,1
5647,,2002,9,5,11,3,5.8,32,5.5,5.5,5.2,5.3,,,,,KYRGYZSTAN,,KYRGYZSTAN,39.77,72.007,40,,,,,,,,1,,,,,,,,,,,,1,,,,
5648,,2002,9,6,1,21,28.6,5,6,6,5.5,5.8,,,,,ITALY,,ITALY:  SICILY:  PALERMO,38.381,13.701,130,2,1,,,20,1,500,4,,,,2,2,1,,,20,1,500,4,,,,2
5649,Tsu,2002,9,8,18,44,25.5,13,7.6,7.6,7.8,6.5,,,,,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,170,4,1,,,70,2,,3,,1,873,3,4,1,,,70,2,,3,,1,873,3
5650,Tsu,2002,9,13,22,28,29.4,21,6.5,6.5,6.7,6.2,,,,,INDIA,,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",13.036,93.068,60,2,1,,,,,,1,40,1,,1,2,1,,,,,,2,40,1,,1
5651,,2002,9,20,15,43,35.4,10,6.4,6.4,6.4,5.9,,,,,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,170,,,,,,,,1,,,31,1,,,,,,,,1,,,31,1
5652,,2002,9,22,23,53,14.6,9,4.8,,,4.8,5,,,6,UK,,"UNITED KINGDOM:  MANSFIELD, DUDLEY",52.52,-2.15,120,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,
5653,,2002,9,25,18,14,48.5,6,5.3,5.3,4.7,5.2,,,,,MEXICO,,MEXICO:  ACAPULCO,16.87,-100.113,150,,,,,2,1,,1,,,,2,,,,,2,1,,1,,,,2
5654,,2002,9,25,22,28,11.9,10,5.6,5.6,5.1,5.5,,,,,IRAN,,IRAN:  MASJED-E SOLEYMAN,31.995,49.329,140,,,,,5,1,,2,,,,,,,,,5,1,,2,,,,3
5655,,2002,9,30,6,44,48,10,4.2,,,4.2,4.5,,,,FRANCE,,"FRANCE:  HENNEBONT, LANGUIDIC, LORIENT, TREMOREL",47.832,-3.207,120,,,,,,,,1,,,,1,,,,,,,,1,,,,1
5656,Tsu,2002,10,10,10,50,20.5,10,7.6,7.6,7.7,6.5,,,,,INDONESIA,,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,170,8,1,,,632,3,,3,1000,3,900,3,8,1,,,632,3,,3,1000,3,900,3
